item_id,prod_info,category,itemID_new,category_num
29036,科勒   卡斯登   陶瓷   台下盆   洗脸盆   面盆   K-2211 T - 0   台盆   正品特价 ,53-3238,31,169
29107,包邮 正品   诗婷露雅 鳄梨 多效 修复 肌 底 液 30 g 美白 弹力 紧致 抗皱 去 细纹 ,50-3326,32,162
30732,钟书 金牌   金牌 教练   同步 练习   数学   二 年级 / 2 年级   上 / 第一 学期 ,35-3091,33,99
30828,祥云 卫浴 五金挂件 9606 简欧 风尚 单杆毛巾架 毛巾挂 浴室置物架 ,53-4317,34,173
31570,【 上海 名牌 】 雁皇   健康 舒 睡 枕头芯   星级宾馆 枕头   枕芯 ,78-1823,35,269
31961,香蕉宝贝 立领 韩版双排扣 修身 短款 女士 棉质 机车夹克 小外套 C23 W 078 ,10-4371,36,1
33303,【 逸 红颜 】 墨 绣   改良 时尚 复古 短款旗袍 夏装   2013 新款 改良旗袍裙 ,10-3448,37,0
33320,新西兰 进口   AIRBORNE   有机 三叶草 冬 蜂蜜 / 苜蓿 冬 蜂蜜   500 克   包邮 ,76-5583,38,264
34803,固力 GULI   三 杆 式 执手锁   执手门锁 室内门锁   卧室 木门 房门锁   B 5520 ,21-1233,39,28
35012,2013 新款正品   高特 偏光 变色 太阳镜   防紫外线墨镜   女款 遮阳镜 FL 946 ,25-6840,40,55
35440,13 春 夏季新款   大码女裤   飘 仙 雪纺 裤子   阔腿裤 大 裤脚 裤裙   九 分 裙裤 ,10-6129,41,3
37537,卓欧 2013 秋装 新款 女士小西装 V领 纯色 修身 长袖短外套   女 6 W C 308006 ,10-4371,42,1
38276,圣 寝 阁 新款 ！ AB 版 纯棉 活性 印花床裙 床罩 床单 （ 床裙 003 ） ,78-7687,43,275
38558,2013 易菲 秋装 新款 专柜正品   修身 长袖 中长款 毛针织衫 女 大码 YLW 7082 ,10-5795,44,2
38614,3 guys 偏光镜 太阳镜 墨镜   黑超 墨镜 男士 驾驶 钓鱼 SA 11012 ,25-6840,45,55
39008,正版 ！ 18分钟 做 便当 ， 有 菜 有 肉 有 营养   营养 美味   5 步 搞定   美食 书籍 ,35-5917,46,115
39599,YINER 音儿 影儿   春装 橙色 长袖 假两件 毛织衫 82306200 ,10-5795,47,2
42912,DorDor Horse 多多马 健康 童鞋   真皮女童鞋   秋 公主鞋 单鞋 MG 3040 ,33-3525,48,86
43150,迎鹤 家纺     加厚 保暖 冬被 芯   超细 纤维   蓬松 舒适   150 * 200 特价包邮 ,78-141,49,268
43560,万姿曼   WZM   2013 秋季 新款 OL 通勤 时尚 中长款 修身 中袖外套 针织开衫 ,10-5795,50,2
44598,特价包邮 罗卡 卫浴 正品 连体座便器 坐便器 喷射 虹吸 抽 水 节水马桶 0843 ,53-2697,51,168
45046,宝宝外套 女童外套 2013 新款 女童秋装 新款 韩版 潮 儿童秋装 女 风衣 春秋 ,33-1347,52,84
45067,2013 春夏 新款   时尚 个性 百搭   淑女 V领 拉链 短款针织衫 ,10-5795,53,2
45545,楼兰 瓷砖 仿古 瓷片 厨房 卫生间 浴室 墙砖 地砖 墙贴 防滑 100 x100 ,53-859,54,181
45946,The North Face / TNF 北面 秋冬 男款 户外 休闲 保暖长裤 A65 Q ,30-5548,55,74
47297,白翎 风采 女装 专柜正品   时尚 修身 几何 圆点 女 上衣 外套 2013 秋装 新款 ,10-4371,56,1
47370,彪马 PUMA 运动长裤 男装   专柜正品 基本 系列 运动裤   82097801 ,36-1047,57,121
49074,衣 倍   欧洲站   2013 春 夏装 欧美 大牌 设计 数码 印花 重 磅 真丝短袖上衣 c ,10-4371,58,1
49441,包邮 裸 瓶   樱奈儿 米糠 精华油 去 细纹 祛斑 70 ml   全身 能 用 专柜正品 ,50-3326,59,162
52162,乔丹   正品 秋冬新款 男裤 运动裤 休闲裤 梭织长裤 特价 透气   BYK 1320605 ,36-1047,60,121
52179,我 的 第一 本 礼仪 书 ,35-4642,61,110
52475,播   春秋 爱美丽   韩版 圆弧 下摆 毛衣 女 针织 小 开衫 BDF 1 SZ 5566 ,10-5795,62,2
54494,2013 新款 保圣 正品   青少年 眼镜 男女 偏光   撞色 拼色 学生 太阳镜 11347 ,25-6840,63,55
54887,飞利浦   水晶 灯泡   烛 泡 摇曳 泡 拉尾泡   卤 钨 卤素灯泡 调光 E14   18 W   28 W ,53-7402,64,179
55802,人气   FOREVER21   女装   F21 锥形 铆钉 渐变色 牛仔外套   76521446 ,10-4371,65,1
56458,双 雁 鞋柜 大 容量 简约 现代 时尚 超薄 烤漆 黑白色 玄关 隔断 门厅柜 ,54-7309,66,188
57031,浅秋     春装 新款     韩版 蝙蝠 袖 电脑 提花 圆领针织衫 ,10-5795,67,2
57827,简 优 尚品 温泉 泳衣   性感 兽 纹 比基尼   聚拢 显 瘦 bikini 游泳衣   女 81954 ,74-7419,68,252
59052,小 桃 泳衣   斯 漫 琪 2013 新款   时尚 设计 性感 钢 托比基尼 三件套泳衣 ,74-7419,69,252
60953,幸 服 良 呈   2013 新款 夏 红色 新娘 复古 改良 时尚 长款 晚礼服 敬酒服 旗袍 ,10-3448,70,0
61061,莱蒙 正品   童鞋   男童 皮鞋   男童鞋   2013 新款   儿童皮鞋   真皮 外贸童鞋 ,33-3525,71,86
61693,IMAX   B6   B8   B6 AC   多功能 平衡 充   充电器   模型 万能充电器   b6 充电器 ,65-4793,72,215
62773,F.NY 法妮   专柜正品   秋冬新品   可爱 泡泡袖   百搭针织衫   1232509 ,10-5795,73,2
62964,温莎蒂 专柜 正 品牌 大牌 女装 2013 秋装 新款 品质 长袖 假两件 针织衫 7124 ,10-5795,74,2
63123,德国 Mrlock   艾利丝   室内门锁   极 简 浅色 控   品味生活   三 个 套餐 ,21-1233,75,28
63262,INSUN 恩裳   2013 新款 专柜正品 撞色 拼接 修身针织衫 93306680 ,10-5795,76,2
63867,TOPBOA   优雅 结婚旗袍 立领 刺绣 修身 包臀 短袖 短款 加厚 旗袍   敬酒服 ,10-3448,77,0
65033,2013 艾米 新款 女士 大框墨镜   太阳镜   户外 渐变 蛤蟆眼镜 正品 3270 ,25-6840,78,55
65459,欧式 碎花 亚麻 布艺门帘   窗帘   半帘   惊艳 独特 ,78-3041,79,270
65637,befueice   冬装 新款   百搭 格子   泡泡袖 短款   小外套 - W 211002 ,10-4371,80,1
65690,诗凡 黎   2013 秋装 新款 韩版 百搭 拼接针织衫 开衫 1323679 ,10-5795,81,2
67765,百武西   原创 设计 修身短外套   设计 西服 领   拼接 麻布 一 粒 扣 西服 T 0992 ,10-4371,82,1
67794,娘子 写 白领公寓 * 桃花扇 . . OL 新款 中式 新古典 真丝香云纱 时尚 旗袍裙 ,10-3448,83,0
67948,正品 经典故事 春夏 新品   撞色 亮片 雪纺 小 飞袖 短袖针织衫 t恤 JUXN 505 ,10-5795,84,2
69395,爱丽思 IRIS 直销   彩色 金属置物架 整理架   杂物 层架 CBM - 44104 S   包邮 ,6-7309,85,198
69813,韩版 百搭 镂空 针织开衫 薄 外套 女 夏季 防晒衣 韩版 中长款 空调 衫 ,10-5795,86,2
70392,正品 阿 祖 啦 美润 净白精华液 35 ml   深润 美白 晒 后 修复 强 补水 ,50-3326,87,162
70456,魔声   MONSTER   调音师   n - tune 耳机   ntune   包快递   买 1 送 2 ,85-2187,88,304
70596,新品 可儿娃娃 时尚 家居 - 客厅 组合 礼盒 大 套装   儿童 女孩玩具 益智 礼物 ,65-2860,89,212
70782,MONDIAL ATELIER 蒙迪爱尔 优雅 修身 经典 针织衫 M11 CW 8317 ,10-4371,90,1
71036,晟 锦 犇 牛   头层 水牛皮凉席 牛皮席 软床 席 香槟 色彩 席 优等品 1.5 - 1.8 米 ,78-7266,91,274
71193,壹 百 分   正品 迪士尼 - 果缤纷 棒冰 机   儿童 手工 DIY 食品 制作 玩具 ,65-6773,92,217
72440,汪小荷 童装   女童   女 宝宝旗袍   小孩旗袍   夏   新款 中式 汉服 古装 表演 ,33-3448,93,85
72669,AFP 酷 爽 清凉 水 浮 玩具 三 款 入   宠物狗 玩具 大型犬 戏水 解暑 水 耐 咬 洁 齿 ,13-383,94,7
73399,纽贝斯特 白金 婴幼儿 配方羊奶粉 4 段 四 段 800 g   听 装 3 岁 以上   官方 品质 ,38-4226,95,126
73907,Lining / 李宁   ABSG 004   羽毛球 包 双肩包     球 包   羽毛球 包   羽毛球背包 ,74-808,96,254
74271,偶 耶   创意 布娃娃 玩偶   三国 貂蝉   生日礼物 礼品 饰品   diy材料包 m 213 ,78-3616,97,271
75269,2013 春 款   正品 富罗迷 童鞋   女童皮鞋   公主单鞋   儿童 羊皮 真皮皮鞋 ,33-3525,98,86
76373,adidas 阿迪达斯 2012 新款 女子 针织运动长裤 W 42922 ,36-1047,99,121
77624,艾斯维雅 2013 新款 复古 春 夏装 改良 时尚 短袖   女士   亚麻旗袍 棉麻旗袍 ,10-3448,100,0
78200,龙 曼尼 仕   2013 夏季新款 改良 日常 旗袍 短款   民族风 复古 气质 旗袍裙 ,10-3448,101,0
81181,悦 米娜   2013 秋装 女 薄 外套 宽松 大码女装 两件套 中长款 长袖针织衫 女 ,10-5795,102,2
81722,岚 烟 复古旗袍 短款   改良 时尚   夏季 2013 新款 旗袍裙   夏装   时尚 qipao ,10-3448,103,0
81801,东海 世家   天然 金发晶手链 正品 天然水晶手链   饰品 女 男士 招财 助 事业 ,4-1760,104,137
85927,【 茉莉 雅 集 】   清雅   豹纹 印花   一字领   长款   套衫 [ ZZ 600373 ] ,10-5795,105,2
87652,2013 孕妇装 夏装上衣   时尚 韩版 孕妇 雪纺长裙   孕妇 娃娃领   孕妇 长裙 ,16-2787,106,16
89398,ORIGIN 安瑞井   春装 新款   压褶 个性 不规则 时尚女裤 10S 663 K 792 ,10-6129,107,3
91402,卡诺辛蒂   春 夏装 新款   小外套 披肩 短款 外 搭 长袖坎肩   七分袖开衫   女 ,10-4371,108,1
92382,奥芙 S999 纯银手镯 女   纯爱 千足银 手镯 女士   银镯子 纯银饰品 首饰 包 邮 ,4-4578,109,138
92767,正隆 珠宝 天然 a 货 翡翠玉珠 / 冰 糯 种 三彩玉 散珠 DIY 翡翠 散珠 批发 7 mm ,4-5532,110,139
94445,秀 观 唐 真丝 豹纹 古典 真丝旗袍   改良 时尚 夏装 短款 旗袍裙 短款 G 100948 ,10-3448,111,0
95493,HAILANSI 海兰丝 2013 夏季 干练 百搭 修身 短袖套装 小外套 女 H22 GJ 02 ,10-4371,112,1
95512,鉴宝   全套 1 - 3 册   姚锴莹   典当 系列 第二部   网络 小说 原名 灵 木 瞳 ,35-7290,113,117
97694,culli 蛇毒 血清 面部 精华   美白 保湿 补水 祛痘 控油 去 黑头 收缩 毛孔 ,50-3326,114,162
103378,dorlink 多 灵   现代 欧式 简约 室内门锁   卧室 门锁 实木门 执手 锁具   凯尔 ,21-1233,115,28
105498,【 断码 区   低 至 5 折 起 】 LS 爱丝   蝙蝠 连帽羊毛外套 披肩 上衣 换季特价 ,10-5795,116,2
106842,【 专柜正品 】 伊芙心悦 魅力 印花针织衫 T039 Y 190 原价 1580 ,10-5795,117,2
109387,正品   hello kitty   车载LED 电子钟 / 车用 电子钟表 / 夜光 KT 361 ,84-5196,118,293
111360,卓欧 新款 女装   修身 女士 小西服   短款 假两件 小西装外套   女 206002 ,10-4371,119,1
111642,琪 亚   肚皮舞 高档 套装   新款   连体 网纱 透明文胸 腰裙 演出服装 部落 风 ,74-6610,120,250
112230,Oulin / 欧琳   F22 + E11 + OL 2201 油烟机   燃气灶   水槽 套餐   烟灶 套餐 ,23-6058,121,46
113397,『 西服式 纯棉纱 针织开衫 』 卡利亚里   春 款   吸 腰 合体 针织开衫 ,10-5795,122,2
117440,MONDIAL ATELIER 蒙迪爱尔 黑色 亮片 钉珠 蝴蝶结针织衫 M 7452 ,10-5795,123,2
118969,MUDI 牧迪 2013 新款 短袖 直筒   简约 V字领 纯色   亚麻 棉麻   套头针织衫 ,10-5795,124,2
119203,INSUN 恩裳   专柜正品     抽 褶 拼接   粉色针织衫 91106200 ,10-5795,125,2
119970,韩 都 衣 舍 韩国 2013 秋装 新款 女装 V领开衫 镂空针织衫 JM 2370 蒖 1201 ,10-5795,126,2
121783,HCG 和 成 官方 旗舰店   陶瓷 长方形 台面 上 艺术盆   洗脸盆 面盆   l 4532 s ,53-6864,127,178
121980,雷士照明 环形灯管   吸顶灯灯管   环管   荧光 光源 灯管   NL 50 J - 05   6500 K ,53-7402,128,179
122538,MaoMao   美丽 蝴蝶 女士手链   韩版 饰品   925纯银   生日礼品   情人节 ,4-1760,129,137
122930,美丽俏佳人 推荐 静 佳 JCare 蜂蜜 保湿 啫喱 型 美容液 50 ml   美白 滋养 补水 ,50-3326,130,162
126722,柏 美诺 卫浴   毛巾架   浴巾架   太空铝   浴室 卫浴挂件   一体 加强 ,53-6047,131,177
127055,维 洁 家纺   夏被   空调被   冷气被   被子   夏凉被 芯   单人 双人   特价   包邮 ,78-141,132,268
127362,【 逸 红颜 】 落 芳   2013 秋冬装 改良 时尚 复古旗袍   短款 旗袍裙 ,10-3448,133,0
131472,逸 福 高档 订做 旗袍   纯白 重 磅 真丝旗袍   梅花 刺绣 旗袍 长款 复古   夏装 ,10-3448,134,0
132669,小绵羊 家纺   100% 新西兰 羊毛被   纯棉 保暖 冬 被子 棉被   透气 羊毛冬被 ,78-141,135,268
134300,下 架   手工银手镯   经典 民族风 手镯   999 千足银 手镯 女   999 纯银手镯 宽 ,4-4578,136,138
134508,DIY   手工饰品 配件   圆珠   散珠   水晶 黑曜石 半成品 批发   扁圆形 ,4-5532,137,139
135927,smallleaves 童鞋 女 2013 春 款 韩版单鞋 公主鞋 童鞋 女童 银色 女童鞋 ,33-3525,138,86
136409,betu 百图 专柜正品   2013 秋冬新款 三色 假两件 拼接 长袖针织衫 1308 F24 ,10-5795,139,2
136755,旗袍   新款   2013 秋装 欧美 丝绒连衣裙   长袖 碎花 高档 结婚 妈妈 婚宴 装 ,10-3448,140,0
138365,搬家纸箱 快递纸箱 加 硬 60 * 60 * 60 打包纸箱 快递纸箱 整捆 5 个 价格 ,18-4255,141,21
140462,清仓 gen简 女装 专柜正品   春季 新款 修身针织衫 圆领打底衫   09 AG 150 ,10-5795,142,2
141092,【 法恩莎 官方 旗舰店 】 　 　 　 　 台下盆 面盆 ： FP 4611 ,53-3238,143,169
141915,璞秀   2012   冬季 新品 低领 撞色 修身 中长款 打底   毛衣   FD 2 - 8058 A ,10-5795,144,2
142235,水星 家纺   羊毛 软床垫   全棉 羊毛床垫 中 空 涤纶 纤维   包邮 ！ ,78-5065,145,273
142450,SIEMENS / 西门子   LC 55 SK 950 W + ER 55 K950 MP 油烟机燃气灶 套餐   预售 ,23-6058,146,46
142768,2013 秋装 新款 女装 景春 专柜正品 幽 雅 门襟 拉链 背后刺绣 外套 8 Girdear ,10-4371,147,1
143570,德国 EKF   现代 室内门锁   卧室 执手 实木 门把手 铜 锁芯 锁具   特价 套餐 ,21-1233,148,28
145509,Robam / 老板   5103 N + 7 G12 N   新款 侧吸油烟机   不锈钢燃气灶   烟灶 套装 ,23-6058,149,46
145593,2013 秋装   新款 女装   田园风 碎花 针织衫   女   甜美 森 女 毛衣 开衫 ,10-5795,150,2
145701,温莎蒂 专柜 正 品牌 大牌 女装 2013 秋装 新款 品质 蓝色 印花 针织开衫 3252 ,10-5795,151,2
147022,敦奴 专柜正品   女装   夏装 新款   粉色 深 V 短袖针织衫 ,10-5795,152,2
148242,【 限量 定制 】 简 曈 女装 2012 秋冬新品 白色 羊毛双排扣 短外套 大码 p 011 ,10-4371,153,1
150868,卓 奈 cholenite 韩版 新款 春装外套 蓝色 短款 牛仔 小外套 蕾丝 花边 包邮 ,10-4371,154,1
150985,火树银花   银饰手镯   满天星 纯银手镯 S990 足 银镯子 女式 送 妈妈   礼品 ,4-4578,155,138
151316,巧帛 chaber 2013 秋装 新款 优雅 蕾丝 拼接 绣花 百搭长袖针织衫   122393 ,10-5795,156,2
152372,蓝 鼎   正品 高档 玻璃夹 隔板 夹 鱼嘴 加长 夹 22 亮白   最大 可 夹 20   一个 ,21-7427,157,40
155678,保斯道 D11 引擎 养护剂   机油添加剂   发动机 润滑剂   降耗   省 油 宝 50 mL ,84-2545,158,285
156452,LU 生活无限 洗水裤 男 新款 户外 休闲多袋 直筒 洗水裤 生活无限 洗水裤 男 ,30-5548,159,74
156513,2013 易菲 秋装 新款 专柜正品   中长款 宽松 假两件 针织衫 女 大码 YLA 7067 ,10-5795,160,2
160397,浴室挂件   太空铝毛巾架   浴巾架   卫生间   毛巾架   卫浴 五金挂件 5202 ,53-6047,161,177
160784,《 朝阳区 》 致美 视觉 摄影 机构 婚纱摄影 套 系 ,20-6179,162,27
160977,唐奕 2013 时尚 夏装旗袍 中式 改良 女士唐装 棉布印花 修身 荷花 性感女装 ,10-3448,163,0
161035,苾 美   硅胶假乳房 义乳 连体 CD 变 装 假胸   伪娘 水滴 形 500 克 连体 假乳 ,5-3491,164,160
162944,风 拂 正品 2013 秋装 提花 短款 改良 时尚 清新 花鸟 刺绣 旗袍 8 - 233035 特 ,10-3448,165,0
163500,【 恒成 卫浴 】 艺术洗脸盆   洗手盆   台上盆   洗面盆   32038 ,53-6864,166,178
165134,2013   春装   女装   长款针织衫 冬天 针织衫   圆领 女装针织衫 反 季 清仓 ,10-5795,167,2
165975,卖 完   秋装 专柜正品   宽松 套头针织衫 女 大码 YLS 7057 ,10-5795,168,2
166757,Donlim / 东菱   DN - 168A 豆奶机   全球 首台 独家 专利   告别 豆浆机   全自动 ,61-2978,169,200
167960,包邮   单眼 咚 咪 CRZ 专柜正品   新品 女装 锦纶   短外套 女 秋装 CD 23 YW 031 ,10-4371,170,1
169191,New Balance / 新百伦   男   针织长裤   AMFP 3377   包邮 ,36-1047,171,121
169586,【 荣萍 】 2013 春夏 新 复古旗袍   改良 日常   蕾丝刺绣 短袖 修身 短旗袍 裙 ,10-3448,172,0
170212,LDH 雷 遁 正品 汽车底盘 装甲   地盘 装甲 施工 防锈漆 隔音胶   非 自 喷 型 ,84-3533,173,288
172441,2013 新款 夏装 新款 性感 改良旗袍   豹纹 复古 低 开叉 短旗袍 日常 礼服 ,10-3448,174,0
173838,柔软 新疆 棉花被 棉被 被芯 8 - 10 斤 被子 长绒棉 单 双人   被子 冬被   特价 厚 ,78-141,175,268
175801,固力 GULI   双 圆柱 防盗门锁   外装锁 入户门 大门锁   木门锁   9219   AC ,21-1233,176,28
176715,【 索 秘 户外 】 2013 新版 Fenix   E15 极致 小巧 EDC 手电 170 流 明   1 * CR123A ,30-3553,177,73
177754,时尚 改良旗袍 夏装   旗袍裙   龙凤 亮片   新娘旗袍   蕾丝旗袍 QP 0007 ,10-3448,178,0
179510,民族风 宝宝 银饰品   宝宝 银手镯 纯银 99 足银   婴儿 儿童 银手镯 脚镯 ,4-4578,179,138
181098,【 格 氏 旗舰店 】 ACE 新品   5000 mAh   11.1 v   40C 锂 聚 电池组   大S 绝配 ！ ,65-4793,180,215
182206,香蕉宝贝 春秋装 新款 韩版 休闲 修身 通勤 OL 羊毛 短款小外套 B 23 W 129 ,10-4371,181,1
183125,（ 天 猫 特价推荐 ） 祥宇 特级 初榨橄榄油   家庭 特惠 装 1000 ml   食用油 ,41-1359,182,144
183194,特价 locaer 罗卡 卫浴 虹吸式连体座便器 坐便器 抽 水 节水 静音马桶 0833 ,53-2697,183,168
184097,莱维史丹   2013 夏季新款 重 磅 真丝女装   复古 印花 高档旗袍 连衣裙 5503 ,10-3448,184,0
185252,金点原子   防盗门锁   插芯锁   面板锁   防盗锁   防 锡纸 开锁   正品   2009A ,21-1233,185,28
188449,【 荣萍 】 2013 春夏 新 中国风 改良 宴会   短袖 复古 修身 真 丝绒花 短旗袍 ,10-3448,186,0
189445,2013 新款 新娘婚纱礼服 旗袍 结婚 中式旗袍 套装 冬装 婚宴 复古旗袍 5097 ,10-3448,187,0
189551,商城 正品   一往情深手链   印度 玛瑙 七彩玉 水晶手链   很 超值 的 一 款 ,4-1760,188,137
190184,CADIDL 卡迪黛尔 2013 专柜正品 秋装 酒红色 双层领 小西装外套 C123 E002 ,10-4371,189,1
191051,RTW   2013 秋季 新款 女装 全棉 经典 棒球衫 短款外套 RTWY 03716 ,10-4371,190,1
191188,爱 贴 《 爱 的 森林 小鹿 2 》 客厅 餐厅 卧室 沙发 电视 橱窗 玻璃 大型 墙贴纸 ,17-267,191,20
192056,香蕉宝贝 秋冬装 新款 羊毛 圆领 修身 中长款 外套 女 欧美风 大衣 C 24 W 809 ,10-4371,192,1
192332,【 苏州 】 80 印象 婚纱摄影 夏季 特惠 套餐 ,20-6179,193,27
193582,巧帛 chaber 2013 秋装 新款时尚 钉珠 印花 百搭 长袖 针织 专柜正品 122345 ,10-5795,194,2
194043,琪 琳 家纺   100% 特级 桑蚕 长 丝 被芯   婚嫁 必备 被芯 被 胎   空调被 子母被 ,78-141,195,268
194831,猫人秘密   13 年 夏季 新品   燃 情 宝贝   花样 风情 性感   比基尼   分体泳衣 ,74-7419,196,252
195107,飞机盒 CT 2 特 硬 淘宝 邮政 快递 打包 小 包装纸箱 包装箱 纸盒 定做 批发 ,18-4255,197,21
197472,特 泊 丝   A 货 翡翠 批发   玉珠子   冰 油 青 圆 珠子   天然 翡翠 散珠 13 - 14 mm ,4-5532,198,139
198521,新品上市 德国   正品 法克曼 榉木 饭勺   木铲   短柄 勺子   30984 ,67-5267,199,229
198538,特价   太和 专柜正品     圆领 短袖 百搭针织衫 休闲T恤 夏 女装 TB 1011 J 024 ,10-5795,200,2
201016,【 新品 】 sdeer 圣迪奥   专柜正品   女装 秋装 立领 斜襟 女式上衣 3382270 ,10-4371,201,1
201146,【 凯特 的 秘密 】 2013 秋装 短款皮衣   蕾丝 V领 钉珠 外套 / 0868 ,10-4371,202,1
201661,9.13 新 卓雅周末 女装 2013 秋 特价 533 奢华 大牌 显 瘦 修身 毛针织衫 W U 503 ,10-5795,203,2
204752,浅秋 专柜正品   冬季 新款 女装   韩版 圆领 长款 修身 套衫 羊毛衫 ,10-5795,204,2
206092,娘子 写 白领公寓 * 桃花 妖 . OL 中式 新古典 重 磅 真丝弹力缎 传统 真 襟 旗袍 ,10-3448,205,0
206384,CARA 喀 啦 女装   嫩黄色 雪纺 针织 拼接 短款针织衫 K91 PKR 817 ,10-5795,206,2
207466,响 震 亮光 玻璃夹 / 玻璃 托 / 玻璃托架 夹 5 - 8 mm 固定夹 （ 小号 圆形 ） ,21-7427,207,40
208105,motivi 女装 专柜正品   2013 秋款 立领 双排 扣带 腰封 亮面 工装风衣外套 ,10-4371,208,1
208849,风 拂 专柜正品 真丝 无袖 低 开 衩 旗袍 红色 敬酒礼服 短款   8 - 233008 ,10-3448,209,0
208888,peoleo 飘蕾 2013 春 专柜正品 黑色 圆领 短款拉链 夹克 外套 女 3110202108 ,10-4371,210,1
210366,哆 咪 王子 女童皮鞋 2013 秋季 新款 甜美公主鞋   可爱 女童单皮鞋 A 25111 ,33-3525,211,86
210991,幸福 一 站 红色 蕾丝 新娘 敬酒服   高腰 孕妇 旗袍   改良 时尚 结婚 复古旗袍 ,10-3448,212,0
212518,秋冬   奥索卡 / OZARK   男款 超轻 短款羽绒服   152697 ,30-6465,213,76
212808,【 恒成 卫浴 】 艺术洗脸盆   洗手盆   台上盆   洗面盆   4288 A ,53-6864,214,178
213056,现货 秒杀 包邮 ！ ！ Adidas / 阿迪达斯 女装 经典 羽绒服 茄克   O 05148 ,36-2558,215,122
214371,品胜   手机 平板   OTG 读卡器   三星 i 9300   i 9500   小米 2 S   读 SD   TF卡   U盘 ,39-7187,216,135
215861,【 贇 旗袍 】 全棉 短旗袍 定做 旗袍   改良旗袍   春 夏装 2011 新款 2 - C - - - 8 ,10-3448,217,0
